"id","fdc_id","seq_num","food_attribute_type_id","name","value"
"2074","167525","0","1000","","Latino food"
"2075","167526","0","1000","","Latino food"
"2076","167527","0","1000","","Latino food"
"2077","167528","0","1000","","Latino food, pastelios de guava, turnovers"
"2078","167529","0","1000","","Latino food"
"2079","167530","0","1000","","Latino food"
"2080","167571","0","1000","","confectioner's coating"
"2081","167605","0","1000","","Potatoes, hashed brown"
"2082","167622","0","1000","","sitka deer, venison"
"2083","167626","0","1000","","sheefish"
"5578","323121","0","1000","","hot dog, frank, wiener"
"5579","327046","0","1000","","Chinese gooseberry"
"5580","333476","0","1000","","Pollock"
"5581","334247","0","1000","","sucrose"
"5582","334849","0","1000","","URMIS # 2219, Kansas City Strip, Boneless Strip Steak, Club Steak, New York Strip"
"5583","334897","0","1000","","Tenderloin Roast, URMIS # 1386"
"5584","334898","0","1000","","Eye of Round Roast, URMIS # 1480"
"5585","334963","0","1000","","Top Round Roast, URMIS # 1551"
"5586","335061","0","1000","","T-Bone Steak, URMIS # 2184"
"5587","335109","0","1000","","Porterhouse Steak, URMIS # 1330"
"2084","167669","0","1000","","french, family style"
"2085","167670","0","1000","","family style"
"2086","167671","0","1000","","family style"
"2087","167672","0","1000","","family style"
"2088","167673","0","1000","","family style"
"2089","167696","0","1000","","hot dog, wiener, frank"
"2090","167760","0","1000","","mamey colorado, marmalade plum"
"2091","167782","0","1000","","garlic pear"
"2092","167788","0","1000","","yellow cherries"
"2093","167789","0","1000","","yellow cherries"
"2094","167791","0","1000","","African horned melon"
"2095","167827","0","1000","","URMIS #3313, Center loin chops, Centercut pork loin chops, centercut pork chops"
"2096","167829","0","1000","","URMIS #3313, Center loin chops, Center cut pork loin chops, centercut pork chops"
"2097","167831","0","1000","","Centercut pork loin, Rib cut chops, Rib chops"
"2098","167833","0","1000","","Centercut pork loin, Rib cut chops, Rib chops"
"2099","167836","0","1000","","Loin end roast, Hipbone roast, Sirloin end roast"
"2100","167837","0","1000","","Loin end roast, Hipbone roast, Sirloin end roast"
"2101","167839","0","1000","","URMIS #3369, America's cut chops, Pork top loin chops, Strip loin chops"
"2102","167841","0","1000","","URMIS #3369, America's cut chops, Pork top loin chops, Strip loin chops"
"2103","167842","0","1000","","Boneless pork loin, Centercut pork loin roast"
